feature6,feature3
15.5512121212,16.8785294118
15.4965151515,15.1581818182
16.8989393939,15.195
15.8681818182,16.631969697
16.7652941176,16.7103030303
15.6585365854,16.2665
16.0689189189,16.5624324324
17.14125,17.815
15.7684210526,18.4666666667
16.2273809524,16.50375
18.0259722222,15.9596428571
18.2488888889,17.99875
19.46375,16.1566666667
17.5335714286,16.2148571429
15.7605128205,17.1375
18.0725,16.1358571429
16.9484883721,15.5540789474
17.6124324324,18.15875
16.41,15.9985897436
15.6643055556,18.1905555556
16.6131578947,18.53125
18.3983333333,16.1772368421
15.6098684211,17.2290277778
16.6502941176,16.3505555556
16.4455128205,17.9375
17.755,16.4996052632
17.2904166667,17.86
16.1835526316,16.4922727273
16.5117948718,16.1935
15.8572972973,
