feature6,feature3
20.9525,23.195
21.64,21.67
22.11,21.9244444444
22.2775,22.816
19.3675,21.9471428571
21.76,22.482
21.6161538462,22.3505128205
21.652,22.6966666667
22.2533333333,22.4
21.5483333333,
