feature11,feature10,feature8
32.869,32.583,33.121
32.809,32.619,32.726
32.634,32.429,32.986
32.788,32.816,32.615
32.669,32.626,33.185
,32.841,32.571
,32.913,33.034
,32.885,32.921
,32.981,32.434
,32.646,32.725
,32.744,
,32.431,
,33.118,
,32.539,
,33.428,
