feature9,feature10,feature8
32.811,33.042,100.0
32.812,32.977,32.636
32.634,32.563,32.615
32.868,32.864,32.608
32.689,32.818,33.09
,32.425,33.006
,32.685,32.725
,32.828,33.046
,32.783,32.741
,,32.957
,,33.036
,,32.758
,,32.817
,,32.825
,,33.436
