feature11,feature10,feature8
21.43,21.8085714286,25.1660606061
22.4078125,22.3345454545,24.95
21.19625,22.2924242424,25.4606060606
22.0903125,21.9803125,25.3063636364
21.8681818182,21.781875,24.7778787879
,24.3887878788,25.313125
,24.8666666667,25.1684848485
,24.9618181818,24.9551515152
,24.8554545455,24.9748484848
,25.1984848485,24.8347058824
,24.3560606061,
,25.2487878788,
,24.8166666667,
,24.6639393939,
,24.5323076923,
