feature6,feature3
32.3681818182,32.965
32.0967647059,32.6032352941
32.7223529412,33.1467647059
33.2585294118,33.2588235294
33.5063636364,33.2109375
32.9145454545,32.7318181818
31.88,32.4
32.6611764706,32.7605882353
33.4996969697,32.52
33.0387878788,
