feature7,feature10,feature8,feature6
21.27875,23.1412121212,24.5018181818,22.295
21.0878125,24.1715151515,25.4451515152,21.3690625
21.555,24.2006060606,24.1147058824,22.0940625
21.5940625,24.7861764706,25.3648484848,21.7260606061
21.34,24.5996969697,24.2642424242,21.3754545455
,24.4942424242,24.5566666667,
,23.9675757576,24.7915151515,
,24.4520588235,23.7051515152,
,24.3712121212,24.8121212121,
,24.3075757576,,
