feature11,feature10,feature8
32.429,32.619,32.909
33.009,33.018,33.987
32.834,32.415,33.615
32.028,33.481,32.843
,32.745,33.031
,33.669,32.704
,33.07,32.798
,32.819,32.623
,33.043,32.618
,32.526,33.942
,32.939,
,32.846,
,33.061,
,33.968,
