feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
16.73390625,16.5164516129,16.6825,14.9396875,15.3834375,16.4043939394,15.68078125,16.40578125
15.623125,15.2387878788,16.89109375,14.61453125,14.984516129,14.93125,15.3,15.76625
15.7309677419,15.3559375,15.8725,16.4598387097,15.32859375,15.7359375,15.545625,15.060625
14.97234375,16.493125,15.459516129,16.5728125,16.00984375,15.3765625,15.388125,15.58125
16.3440909091,14.7515625,16.7003125,15.62375,14.7546875,16.263125,15.0203125,14.90953125
,,16.438030303,,,,,14.86734375
,,14.9371875,,,,,16.5157575758
,,16.6953125,,,,,15.54734375
,,15.4529032258,,,,,16.1034375
,,15.5578787879,,,,,15.274375
