feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
0.301634550841,0.326021559787,0.323999904485,0.311463277544,0.307169951347,0.313465037669,0.308837186811,0.323475686326
0.335103496152,0.321684081498,0.32152962534,0.334110456211,0.328746480518,0.313268924708,0.339929619379,0.320862653083
0.313038333711,0.3339465145,0.333709639529,0.320498538266,0.307239673639,0.328695483198,0.31501220268,0.310398206803
0.325100237229,0.324251856798,0.328324660696,0.32384898347,0.307065749633,0.317675340263,0.319387399837,0.304011322282
0.315893277158,0.321824150082,0.324630770202,0.324673111545,0.338827325825,0.311414303025,,0.293153750055
,0.32581171292,,0.299856670831,,,,
,0.328920606097,,0.277942799825,,,,
,0.321494259333,,0.329345374922,,,,
,0.314055088019,,0.33145051041,,,,
,0.317601316753,,,,,,
