feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
15.5309677419,16.806875,15.6725806452,15.356875,15.5503125,15.4875,16.435,16.6613636364
14.9375,16.6593939394,15.3778125,16.25625,15.3809375,14.9865625,15.6106451613,16.261
15.3315625,16.7459375,14.898125,16.63578125,15.7258064516,15.4853125,16.7375,16.360625
15.18796875,15.259375,14.9953225806,15.5935483871,15.2834375,15.1546875,15.434375,15.2203125
16.493125,15.0812121212,15.16734375,16.4546875,15.0296875,16.1690625,,16.029375
,,15.7909375,,,,,15.90875
,,15.2272580645,,,,,16.6796875
,,15.6833333333,,,,,15.1996875
,,15.05484375,,,,,15.3484375
,,16.6734375,,,,,16.3425
