feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
21.1829032258,21.350625,21.5293548387,21.7209375,21.771875,21.734375,22.4303125,20.8951515152
21.448125,21.6121212121,21.4,21.71875,22.6659375,21.659375,22.3261290323,21.3357142857
21.013125,22.6028125,22.25625,21.9159375,21.6312903226,21.8296875,21.66625,21.284375
21.35,21.85125,21.9893548387,21.2574193548,22.5740625,22.3353125,21.98625,21.245625
21.7353125,21.3112121212,21.4325,21.233125,20.92625,22.078125,,22.3378125
,,22.08625,,,,,22.720625
,,22.2777419355,,,,,21.536875
,,21.6190909091,,,,,21.3121875
,,21.7828125,,,,,22.3015625
,,21.9046875,,,,,22.1503125
