feature11,feature10,feature8
21.6848484848,22.4384848485,24.4315151515
22.224375,21.9971875,24.875
21.9496875,21.9267741935,24.5424242424
22.1987096774,22.2728125,24.1709090909
21.8296875,21.5148387097,24.0817647059
,24.2972727273,24.2793939394
,24.1003030303,23.7651515152
,24.5639393939,23.6466666667
,24.463030303,24.6075757576
,24.4209090909,24.2484848485
,23.98125,
,23.9054545455,
,24.7690909091,
,24.7484848485,
,24.8190909091,
