feature9,feature10,feature8
21.815625,24.373030303,21.5996875
21.910625,24.4339393939,22.1659375
22.3577419355,24.3627272727,21.2151612903
21.6659375,24.7942424242,22.184375
,24.7727272727,
,24.2721212121,
,22.8463636364,
,24.3518181818,
,24.0687878788,
,24.5624242424,
