feature7,feature10,feature8,feature6
22.078125,24.4536363636,25.3333333333,21.908125
21.665,24.4987878788,24.4578787879,20.31
21.2040625,23.8296969697,25.0387878788,21.685625
22.0496774194,24.8770588235,24.9496969697,22.0375757576
21.713125,24.861875,24.3503030303,21.9203125
,24.0763636364,24.3715151515,
,24.3935294118,24.046875,
,24.1672727273,24.5660606061,
,23.3944117647,24.5521212121,
,24.1503030303,24.1218181818,
