feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
32.726,32.604,33.01,32.936,32.454,32.637,33.166,33.298
32.708,33.061,32.818,32.643,33.855,32.727,32.631,32.53
32.776,32.834,32.41,32.754,32.627,32.841,32.649,32.722
32.632,32.811,32.857,32.72,32.917,32.971,32.907,32.628
32.704,32.991,32.631,32.83,32.544,32.552,32.884,32.847
,32.899,32.702,,32.864,,32.8,32.837
,32.603,32.82,,32.864,,33.114,32.298
,33.063,37.148,,32.855,,32.741,32.711
,32.961,32.805,,33.218,,32.741,32.795
,,32.851,,,,32.677,32.737
,,32.823,,,,,
,,32.997,,,,,
,,32.564,,,,,
