feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
15.35625,15.5783333333,16.39109375,15.459375,15.5470967742,16.68703125,15.2024193548,16.5138709677
15.6209375,15.030625,15.46,16.7972727273,17.365,15.2615625,15.4309677419,16.5141935484
15.4728125,16.4061290323,15.8580645161,14.92203125,15.8512121212,15.63734375,15.3290625,16.399375
15.5103125,16.1706618924,15.6054545455,16.715625,15.8253125,16.3628125,14.88546875,14.8534375
14.87390625,15.1609090909,,16.52890625,16.206875,,,16.5909090909
