feature11,feature10,feature8
32.817,32.722,32.912
32.768,32.848,33.467
32.838,32.652,32.843
32.986,32.522,32.82
32.634,32.908,32.742
,33.466,33.261
,32.702,32.455
,33.004,33.103
,33.041,33.1
,32.455,33.289
,32.659,
,33.066,
,32.629,
,32.84,
