feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
21.6803030303,22.0596774194,22.5646875,21.6953125,21.76375,21.9065625,21.2706060606,21.4725
21.5775,22.1512121212,21.2140625,22.8865625,21.834375,21.895,21.7434375,22.6165625
21.5528125,21.8409375,21.6134375,21.555,22.33125,22.143125,21.6233333333,22.0290625
22.3248484848,21.4696875,21.2171875,21.6809375,21.7141176471,22.375,22.5109090909,21.46375
,21.3678125,21.2740625,21.5128125,,22.1574193548,22.0346875,21.0136363636
,22.1384375,,22.0475,,,,
,21.5915625,,21.4790625,,,,
,21.686875,,21.663125,,,,
,21.585483871,,21.768125,,,,
,22.0903225806,,,,,,
