feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
21.5990625,22.1912121212,21.64375,21.865,21.94625,21.14125,21.9290625,22.6590625
22.365625,22.0151612903,22.1821875,22.3796875,21.4383870968,22.0190625,21.8928125,21.6029032258
21.564375,22.116875,21.3584375,21.4378125,21.47625,21.394375,22.0303125,21.7359375
20.4846875,22.3746875,23.4725714286,21.6434375,23.49925,21.2315625,21.8984375,23.1572727273
22.1474193548,,21.895625,21.6887878788,21.564375,21.4803125,21.345625,22.5984375
