feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
33.02,32.757,32.624,32.639,36.487,37.108,32.951,32.558
32.934,32.529,32.935,32.617,32.716,32.606,32.857,32.879
32.829,32.683,32.938,32.404,32.41,33.034,33.053,33.082
32.468,32.846,33.261,32.637,32.634,32.42,32.684,32.828
32.429,33.045,32.537,32.618,32.913,32.636,32.717,32.614
,,32.706,,,,,32.893
,,32.633,,,,,32.82
,,32.943,,,,,32.893
,,32.72,,,,,32.906
