feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
32.729,32.762,32.835,32.73,32.823,32.414,32.704,32.648
32.764,32.704,32.934,32.856,32.684,32.96,37.031,32.831
32.684,32.668,32.469,33.328,32.616,32.66,32.635,32.221
32.642,32.906,32.687,32.425,33.014,33.395,32.668,32.499
33.298,,,32.925,32.651,32.944,32.661,32.606
