feature11,feature10,feature8
21.3984375,21.8603125,24.393030303
22.535,22.50125,24.2435294118
21.170625,20.849375,23.4757575758
22.22625,21.6174193548,24.4666666667
21.6796875,21.7490322581,24.1203030303
,24.7494117647,24.0881818182
,24.2745454545,24.269375
,23.7651515152,24.5842424242
,23.3294117647,24.6932352941
,25.1915151515,23.9987878788
,24.0603030303,
,24.1938235294,
,24.3190909091,
,24.8881818182,
