feature6,feature3
28.6761111111,28.2904761905
27.7163157895,27.7611666667
28.2944444444,29.16
29.714,28.6052941176
28.5506779661,28.6066666667
29.21,30.5475
28.162,28.3643243243
27.4818918919,27.5962711864
28.52625,26.9883950617
27.6788888889,28.603125
