feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
14.8303125,15.9140625,16.2796774194,14.96265625,15.3642881944,14.4534027778,16.4953125,14.78078125
15.226969697,14.9784375,15.22875,15.2565625,16.5621875,16.2346875,14.9634375,15.4340625
16.8909677419,15.2853125,15.63875,15.3251612903,14.933125,15.286875,16.6434375,14.906875
16.52625,14.6693939394,15.8215625,15.7821875,14.95375,14.6940625,16.5611290323,14.6253125
15.52125,15.1148484848,15.45546875,15.66453125,15.2834375,15.14125,15.1290625,14.4398484848
,,16.3920967742,,,,,15.50203125
,,16.4853125,,,,,15.195625
,,16.5234375,,,,,16.52359375
,,15.841875,,,,,15.9603125
