feature6,feature3
0.298350347131,0.318477552359
0.371806674221,0.329647500766
0.322984448523,0.352007345201
0.364729678114,0.332533268234
0.352271956494,0.322306995586
0.657018079558,0.648932889342
0.63039338692,0.751947126078
0.549315429155,0.435428998081
1.10911122976,0.599101254639
0.629450565146,0.501676157755
0.614515202404,0.503594511827
0.530682878324,0.827740719356
0.482061914433,0.51594657931
0.680614448997,0.625402585712
0.630972643284,0.613815721013
0.494223924981,0.51841140783
0.751801900098,0.596924037527
0.658149180173,0.571964360309
0.619406356052,0.527974153114
0.478045705608,0.486171367921
