feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3,feature12
32.701,32.949,33.014,32.807,33.397,32.812,32.98,32.625,32.608
32.639,33.063,32.82,33.009,33.167,37.448,32.417,33.013,33.407
32.416,32.851,32.854,32.486,32.671,32.825,33.011,33.041,32.807
33.026,33.238,32.679,33.044,32.209,33.032,32.608,33.352,32.644
33.143,32.761,32.825,33.025,33.06,32.815,100.0,32.642,32.925
32.842,32.818,32.742,32.953,33.042,32.936,32.603,33.078,37.427
32.693,32.68,32.68,32.614,33.208,32.91,33.036,32.657,32.91
33.421,32.592,33.864,32.416,33.039,32.63,32.883,32.518,32.848
32.849,37.526,32.637,33.436,100.0,32.973,32.496,32.606,32.944
33.092,34.84,33.09,32.943,32.614,33.048,33.024,33.215,33.007
32.847,32.628,32.645,33.062,32.876,32.755,32.821,32.451,32.633
32.92,32.683,36.689,32.874,32.932,32.771,33.038,32.869,32.769
32.617,32.648,32.889,32.827,33.196,33.026,32.7,33.125,32.776
33.318,32.837,33.179,32.823,37.703,33.029,33.04,32.995,33.012
32.658,33.21,32.498,32.688,32.639,32.876,36.848,32.852,33.672
33.027,32.649,33.251,32.798,32.925,32.833,32.815,32.568,32.61
32.502,32.87,33.028,32.611,32.829,32.845,32.627,32.665,32.818
32.951,32.83,33.321,32.664,32.657,33.181,33.013,33.121,32.883
32.946,32.697,32.689,32.816,33.016,32.811,32.632,33.127,32.704
32.266,33.109,32.412,32.922,32.944,32.647,33.047,32.684,33.033
33.05,32.835,32.61,32.818,32.882,32.941,32.933,32.847,32.431
33.095,32.852,32.617,33.43,32.808,32.645,32.444,32.637,33.21
32.692,32.884,33.418,32.511,32.59,32.625,32.943,32.644,32.838
33.013,32.689,38.053,33.168,33.426,32.71,33.704,32.657,32.81
32.73,32.774,33.012,32.554,32.704,32.884,32.724,32.831,37.228
32.957,37.439,32.614,33.062,32.913,33.391,33.027,32.828,32.813
33.503,32.673,32.888,33.187,33.019,32.892,32.634,32.534,32.304
32.705,32.785,33.287,37.68,32.608,32.614,32.436,33.037,33.436
,33.048,32.605,32.65,33.666,,33.195,42.529,32.655
,,,100.0,32.836,,32.776,32.745,
