feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
15.42765625,16.41171875,15.2421875,15.3934848485,16.3184848485,15.30625,15.174375,15.316875
16.8984375,16.65671875,15.8559375,15.10390625,15.388125,16.37515625,15.2440625,14.9980645161
16.5578125,15.2821875,16.94765625,15.4446875,15.204375,16.735,15.12234375,15.6859375
15.8967741935,16.6425806452,15.06390625,14.554375,15.7040625,16.3184375,15.33125,15.4103225806
15.368125,15.1541935484,14.98109375,15.7181818182,16.5484375,16.3837878788,15.465,15.1503030303
15.0725,,,,15.29375,,,
16.566875,,,,17.09015625,,,
16.4096969697,,,,15.3884375,,,
16.4409677419,,,,15.3196969697,,,
15.25125,,,,14.735625,,,
