feature9,feature10,feature8
14.9740625,15.2571875,16.9593548387
14.8832258065,16.6322727273,15.41609375
15.2359375,16.6075757576,15.6028125
15.05453125,15.6189393939,14.5609090909
15.23375,16.6306060606,
,16.7848484848,
,17.1416666667,
,16.6396969697,
,14.9546969697,
