feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
32.976,32.612,32.672,33.223,32.897,32.871,36.822,32.66
32.866,32.63,32.716,32.662,32.839,32.959,32.647,32.658
33.062,33.248,32.713,32.84,32.563,32.503,33.146,32.763
32.977,33.047,32.775,32.52,33.319,32.209,32.942,32.752
,32.733,32.449,,36.884,32.86,32.467,32.506
