feature10,feature3,feature8,feature6
15.4696554487,15.2344117647,14.8736842105,14.7158823529
15.0183333333,14.9825,15.4239393939,14.6448484848
14.4533333333,14.9102272727,14.67,14.3303030303
14.7246969697,14.1555882353,14.653125,15.3651428571
14.4757575758,15.6801515152,14.32625,15.26390625
14.9912121212,15.2852941176,15.4412121212,15.4331818182
15.2941428571,15.2512857143,15.2815151515,15.3925
14.414375,14.574,15.6029970057,14.88796875
15.178,15.4466666667,14.7992424242,15.4167647059
14.6141428571,14.5757575758,15.3512142857,15.3351515152
15.3412121212,14.3891176471,15.3755236486,15.0044117647
15.3912121212,14.7682352941,14.3506060606,15.3790714286
14.7851470588,15.2636363636,14.9292647059,14.9412142857
14.9052941176,15.0521875,15.3633823529,14.3602857143
14.7195454545,15.6161428571,15.3051515152,15.4187857143
14.9608088235,15.2352142857,15.2225,15.438125
15.5810742187,14.6874242424,14.7375,15.1002941176
15.0008823529,15.2098529412,15.3982352941,15.0735294118
15.3349285714,14.7866666667,14.7039393939,15.7751515152
15.00671875,15.3476470588,15.194,15.2751470588
14.8266428571,15.5540625,14.7697058824,14.7221428571
14.6421212121,14.6917142857,14.8200714286,15.2827272727
15.2009090909,15.0854285714,14.7633333333,15.263030303
15.5597058824,15.1742647059,15.0176666667,14.5325735294
14.4475757576,14.7708823529,14.4023571429,14.5914705882
14.4261428571,14.9552857143,14.8847142857,14.4893571429
14.9009375,14.8532352941,15.0417647059,15.3526470588
14.5572058824,14.6920588235,15.5772727273,15.2172727273
14.6777272727,15.1836363636,15.0075,15.4057857143
14.80675,14.5035294118,,
